text,category
Бұл тапсырма бойынша жалпы тұсымым қандай болуы керек?,task
Бұл тапсырма бойынша жалпы тұсымымда не болуы керек?,task
Бұл тапсырма тақырыбы бойынша жалпы тұсымым не болуы керек?,task
Бұл тапсырма бойынша жалпы тұсымым нешеу болуы керек?,task
Бұл тапсырма бойынша жалпы менің тұсымым не болуы керек?,task
Мен тапсырманы орындауды бастамағаныма не себеп,task
Мен оны орындауды бастамағаныма не болады?,task
Мен тапсырманы дұрыс бастамағаныма не болады?,task
Мен тапсырманы орындауды айтсам не болады?,task
Мен бұл тапсырманы орындауды бастамағаныма не болады?,task
Мен тапсырманы орындауды қалай бастамағаныма не болады?,task
"Мен тапсырманы орындауды бастамағаныма, не болады?",task
Мен тапсырманы дұрыс орындауды бастамағаныма не болады?,task
Бұл жаттығуда қандай санаттарды орындау керек?,task
Бұл жаттығуда қандай санаттарды орналастыру керек,task
Бұл жаттығуда қандай заттарды орналастыру керек?,task
Бұл жаттығуда қандай санаттарды орналастыру керек?,task
Бұл қатарға қандай санаттарды орналастыру керек?,task
Бұл жаттығуда оқушыларға қандай санаттарды орналастыру керек?,task
Бұл жаттығуда қандай санаттарды ретімен орналастыру керек?,task
Бұл физикалық жаттығуда қандай санаттарды орналастыру керек?,task
Бұл жаттығуда қандай физикалық санаттарды орналастыру керек?,task
Мен қай есепкерді қолдану керек,task
Мен қандай есепкерді қолдану керек?,task
Мен қай есепкерді алу керек?,task
Мен қай жерде қолдану керек?,task
Мен қай жерде есепкерді қолдану керек?,task
Мен үшін қай есепкерді қолдану керек?,task
Бұл тапсырманы орындауда кімдерге сұрау қоюға болады?,task
Бұл жаттығушыны орындауда кімдерге сұрау қоюға болады,task
Бұл жаттығушыны орындауда қандай сұрау қоюға болады?,task
Бұл жаттығушыны орындауда кімдерге сұрау салуға болады?,task
Бұл жаттығушыны орындауда кімдерге сұрақ қоюға болады?,task
Бұл жаттығушыны және кімдерге сұрау қоюға болады?,task
Бұл жағдайда жаттығушыны орындауда кімдерге сұрау қоюға болады?,task
Бұл жаттығушыны орындауда кімдерге көбірек сұрау қоюға болады?,task
"Бұл жаттығушыны орындауда, кімдерге сұрау қоюға болады?",task
Бұл жаттығушыны орындауда кімдерге сұрау салуды қоюға болады?,task
Тапсырма жоғары деңгейде орналасқан?,task
Тапсырма жоғары қалайтадан?,task
Тапсырма: қалайтадан орналасқан?,task
"Тапсырма жоғары, қалайтадан орналасқан?",task
Тапсырма: жоғары қалайтадан орналасқан?,task
Тапсырма неге болмайды?,task
Тапсырма неге?,task
Тапсырма орындауға неге болмайды?,task
Бұл жаттығудың аяқталу уақыты қашан?,task
Бұл жаттығудың басталу уақыты қашан?,task
Бұл жаттығудың аяқталу уақыты:,task
Бұл оқиғаның аяқталу уақыты қашан?,task
Бұл жолғы жаттығудың аяқталу уақыты қашан?,task
Бұл жаттығудың алғашқы аяқталу уақыты қашан?,task
Бұл жаттығудың аяқталуының уақыты қашан?,task
Бұл мәселені шешу үшін қай құралды қолдану керек?,task
Бұл есепті шығару үшін қай құралды қолдану керек?,task
Бұл есепті шешу үшін қай құралды қолдану керек,task
Бұл есепті шешу үшін қай құралды қолдану керек?,task
Бұл есепті шешу үшін қандай құралды қолдану керек?,task
"Бұл есепті шешу үшін, қай құралды қолдану керек?",task
Бұл есепті дұрыс шешу үшін қай құралды қолдану керек?,task
Бұл берілген есепті шешу үшін қай құралды қолдану керек?,task
Бұл есепті шешуіміз үшін қай құралды қолдану керек?,task
Тапсырма қайда?,task
Тапсырма не жатады?,task
Тапсырма мәтіні қайда жатады?,task
Мен тапсырма бойынша дайындау жұмысын қалай жоспарлау керек?,task
Мен тапсырма бойынша дайындау кезеңіні қалай жоспарлау керек?,task
Мен тапсырма бойынша дайындау кезеңіні қалай жоспарлау керек,task
Мен тапсырма бойынша оқу кезеңіні қалай жоспарлау керек?,task
Мен тапсырмаым бойынша дайындау кезеңіні қалай жоспарлау керек?,task
Мен тапсырма бойынша дайындау кезеңіні қалай дұрыс жоспарлау керек?,task
Менеджер тапсырма бойынша дайындау кезеңіні қалай жоспарлау керек?,task
Мен тапсырма бойынша дайындау кезеңініін қалай жоспарлау керек?,task
Мен тапсырма бойынша есеп дайындау кезеңіні қалай жоспарлау керек?,task
Мен тапсырма бойынша дайындау және кезеңіні қалай жоспарлау керек?,task
Бұл тапсырманы орындауда кім болады?,task
Бұл жаттығуды орындайтын кім болады?,task
Бұл жаттығуды орындауда не болады?,task
Бұл жаттығуды орындауда кім?,task
Бұл жаттығуды орындауда тағы кім болады?,task
Бұл жаттығуды дұрыс орындауда кім болады?,task
Бұл берілген жаттығуды орындауда кім болады?,task
Бұл әрекетті қандай қадамдармен орындау керек?,task
Бұл жаттығуды қандай қадамдармен орындау керек?,task
Бұл жаттығуды қандай қадамдармен орындау?,task
Бұл жаттығуды қандай жағдайда орындау керек?,task
Бұл жаттығуды қандай дұрыс қадамдармен орындау керек?,task
Бұл жаттығуды қандай қадамдармен бірге орындау керек?,task
Бұл жағдайда жаттығуды қандай қадамдармен орындау керек?,task
Бұл жаттығуды тағы қандай қадамдармен орындау керек?,task
Тапсырма қайда тұр?,task
Тапсырма: қайда тұр?,task
Бұл тапсырма үшін керек деген не?,task
Бұл тапсырма үшін керек құралдар:,task
Бұл тапсырма орындауға керек құралдар не?,task
Бұл не үшін керек құралдар не?,task
Бұл тапсырма орындау үшін керек құралдар не?,task
Бұл тапсырма үшін ең керек құралдар не?,task
Бұл тапсырма үшін керек негізгі құралдар не?,task
Бұл топқа тапсырма үшін керек құралдар не?,task
Бұл тапсырма қандай әрекеттерді қажет?,task
Бұл тапсырма қандай әрекеттерді қажет етеді?,task
Бұл тапсырма қандай дайындықты қажет етеді?,task
Бұл әдіс қандай әрекеттерді қажет етеді?,task
Бұл тапсырма қандай әрекеттерді орындауды қажет етеді?,task
Бұл топқа тапсырма қандай әрекеттерді қажет етеді?,task
Бұл тапсырма қандай іс әрекеттерді қажет етеді?,task
Бұл тапсырма оқушыларға қандай әрекеттерді қажет етеді?,task
Сабақ кезінде не болады?,org
Сабақ кезінде кім?,org
Сабақ үстінде кім болады?,org
Сабақ беру кезінде кім болады?,org
Сабақ кезінде саған кім болады?,org
Сабақ қашан басталады,org
Сабақ неден басталады?,org
Сабақ барысы қашан басталады?,org
Қайда жаттығу?,org
Қайда ән орындалады?,org
Қайда қандай жаттығу орындалады?,org
Сабақтың жалпы кестесі:,org
Сабақтың электрондық кестесі қандай?,org
Сабақтың жалпы мақсаты қандай?,org
Сабақтың жоспарының жалпы кестесі қандай?,org
Сабақтың жалпы өткізу кестесі қандай?,org
Сабақта қандай дайындық?,org
Сабақта қандай құралдар қажет?,org
Сабақта қандай дайындық қажет?,org
Сабақта үйге қандай дайындық қажет?,org
Сабақта қандай психологиялық дайындық қажет?,org
Біз қашан жиналыс?,org
Біз қашан жұмыс істейміз?,org
Біз қандай жиналыс істейміз?,org
Біз мектепте қашан жиналыс істейміз?,org
Біз қашан да жиналыс істейміз?,org
Сабаққа қашан келу керек,org
Сабаққа қалай келу керек?,org
Сабаққа қашан дайындалу керек?,org
Сабаққа қашан дайындалып келу керек?,org
Қандай өзгерістер болады?,org
Қандай қиызметкерлер?,org
Қандай жағдайда қиызметкерлер болады?,org
Сабақта қандай материалдарды қолдану керек,org
Сабақта қандай әдістерді қолдану керек?,org
Сабақта қандай материалдарды пайдалану керек?,org
Сабақта мұғалім қандай материалдарды қолдану керек?,org
Сабақта қандай материалдарды тиімді қолдану керек?,org
Сабақта қандай дидактикалық материалдарды қолдану керек?,org
"Кім болмаса, біз қандай жұмыс істейміз?",org
"Кім болмаса, біз қандай жұмыс істейміз",org
Кім және біз қандай жұмыс істейміз?,org
"Кім болмаса, біз қалай жұмыс істейміз?",org
"Кім болмаса, біз қандай топпен жұмыс істейміз?",org
"Кім болмаса, біз олармен қандай жұмыс істейміз?",org
"Кім болмаса, онда біз қандай жұмыс істейміз?",org
"Кім кінәлі болмаса, біз қандай жұмыс істейміз?",org
Қайда сабақтың үстінде орналасқан?,org
Қайда сабақтың жоспары:,org
Қайда сабақ жоспары орналасқан?,org
Қайда сабақтың күнтізбелік жоспары орналасқан?,org
Қайда жаңа сабақтың жоспары орналасқан?,org
Кімдерге шектеу қою қажет?,org
Кімдерге сұрау қою.,org
Кімдерге сұрау салу қажет?,org
Кімдерге қандай сұрау қою қажет?,org
Кімдерге сұрау салуды қою қажет?,org
Сабақтың кестесі қалай өзгереді?,org
Сабақтың тақырыбы қалай өзгереді?,org
Сабақтың кестесі қалай?,org
Сабақтың сабақ кестесі қалай өзгереді?,org
Сабақтың кестесі: қалай өзгереді?,org
Сабақ қалай аяқталады?,org
Сабақ барысы қашан аяқталады?,org
Қай кезде жиналысты жоспарлау?,org
Қай уақытта жиналысты жоспарлау керек?,org
Қай кезде жиналысты тоқтату керек?,org
Қай кезде дұрыс жоспарлау керек?,org
Қайғылы кезде жиналысты жоспарлау керек?,org
Қай кезде жазғы жиналысты жоспарлау керек?,org
Қай кезде жиналысты дұрыс жоспарлау керек?,org
Сабақтың кестесі қайда?,org
Сабақтың тақырыбы қайда жатады?,org
Сабақтың кестесі не жатады?,org
Сабақтың кестесі сабақ қайда жатады?,org
Сабақтың электрондық кестесі қайда жатады?,org
Сабақ қалай болады?,org
Сабақ барысы қашан болады?,org
Сабақтың басталу уақыты қашан?,org
Сабақтың аяқталу уақыты қашан?,org
Сабақтың аяқталу уақыты:,org
Сабақтың аяқталуының уақыты қашан?,org
Сабақтың толық аяқталу уақыты қашан?,org
Қай сыныпта сабақтың материалдары орналасқан?,org
Қай жерде сабақтың тақырыбы орналасқан?,org
Қай жерде құрылыс материалдары орналасқан?,org
Қай жерде сабақтың материалдары?,org
Қай жерде жаңа сабақтың материалдары орналасқан?,org
Қай жерде сабақтың барлық материалдары орналасқан?,org
Қайдай жерде сабақтың материалдары орналасқан?,org
Сабақтың ұсынысы қайда?,org
Сабақтың ұсынысы не жатады?,org
Сабақтың ұсынысы: қайда жатады?,org
Сабақтың негізгі ұсынысы қайда жатады?,org
Мен тапсырмаға дайындық үшін қосымша ақпаратты қайда таба аламын?,additional_materials
Мен тапсырмаға дайындық үшін қосымша материалдарды қайда таба аламын?,additional_materials
Мен тапсырмаға дайындық үшін қосымша материалдарды қайда таба аламын,additional_materials
Мен емтиханға дайындық үшін қосымша материалдарды қайда таба аламын?,additional_materials
Мен тапсырмаға дайындық үшін қосымша материалдарды қайда жібере аламын?,additional_materials
Мен тапсырмаға дайындық үшін қажетті материалдарды қайда таба аламын?,additional_materials
Мен тапсырмаға дайындалу үшін қосымша материалдарды қайда таба аламын?,additional_materials
Мен тапсырмаға дайындық үшін қосымша материалдарды қайдан таба аламын?,additional_materials
Мен келесі тапсырмаға дайындық үшін қосымша материалдарды қайда таба аламын?,additional_materials
Мен тапсырмаға дайындық үшін қосымша материалдарды қайда іздеп таба аламын?,additional_materials
"Мен тапсырмаға дайындық үшін қосымша материалдарды, қайда таба аламын?",additional_materials
Мен тапсырмаға дайындық үшін қажетті қосымша материалдарды қайда таба аламын?,additional_materials
Мен тапсырмаға жақсы дайындық үшін қосымша материалдарды қайда таба аламын?,additional_materials
Қандай кітаптарды оқуға кеңес бересіз?,additional_materials
Қандай кітаптарды оқуға мәслехат?,additional_materials
Қандай кітаптарды оқуға мәслехат бересіз?,additional_materials
Қандай діни кітаптарды оқуға мәслехат бересіз?,additional_materials
Қандай кітаптарды тегін оқуға мәслехат бересіз?,additional_materials
Қай веб-сайттар сізге көмек етеді?,additional_materials
Қай веб-сайттар тапсырмаға әсер етеді?,additional_materials
Қай веб-сайттар тапсырмаға көмек береді,additional_materials
Қай веб-сайттар тапсырмаға жетуге көмек етеді?,additional_materials
Қай веб-сайттар осы тапсырмаға көмек етеді?,additional_materials
Қайдағы веб-сайттар тапсырмаға көмек етеді?,additional_materials
Қандай түс көруді мәслехат бересіз?,additional_materials
Қандай видеоларды көруді мәслехат?,additional_materials
Қандай видеоларды көруді жалғастыра бересіз?,additional_materials
Қандай видеоларды пайдалануға мәслехат бересіз?,additional_materials
Қандай видеоларды жақсы көруді мәслехат бересіз?,additional_materials
Қандай видеоларды көруді үйрететін мәслехат бересіз?,additional_materials
Қайда қажетті ресурстарды табуға болады?,additional_materials
Қайда қосымша ресурстарды табуға болады,additional_materials
Қайда қосымша ақша табуға болады?,additional_materials
Қайда қосымша қаржылық ресурстарды табуға болады?,additional_materials
Қайда және қосымша ресурстарды табуға болады?,additional_materials
Қайда қосымша ресурстарды қайдан табуға болады?,additional_materials
Бұл тақырыпта қосымша материалдарды қайда табуға болады,additional_materials
Бұл тақырыпта қосымша материалдарды қайда пайдалануға болады?,additional_materials
Бұл сайттан қосымша материалдарды қайда табуға болады?,additional_materials
Бұл тақырыпта қосымша материалдарды қайдан табуға болады?,additional_materials
Бұл тақырыпта қосымша ақпаратты қайда табуға болады?,additional_materials
Бұл тақырыпта интернеттен қосымша материалдарды қайда табуға болады?,additional_materials
Бұл тақырыпта қосымша материалдарды қайда іздеп табуға болады?,additional_materials
Бұл тақырыпта қосымша қажетті материалдарды қайда табуға болады?,additional_materials
Бұл тақырыпта қосымша материалдарды интернеттен қайда табуға болады?,additional_materials
Қандай ресурстарды пайдалану керек,additional_materials
Қандай тағамдарды пайдалану керек?,additional_materials
Қандай ресурстарды пайдалану керек?,additional_materials
Қандай табиғи ресурстарды пайдалану керек?,additional_materials
Қандай ресурстарды тиімді пайдалану керек?,additional_materials
Тақырып бойынша қандай кітаптарды оқу керек?,additional_materials
Тақырып бойынша қандай кітаптарды оқу керек,additional_materials
Тақырып бойынша қандай тақырыптарды оқу керек?,additional_materials
Тақырыптар бойынша қандай кітаптарды оқу керек?,additional_materials
Тақырып бойынша тағы қандай кітаптарды оқу керек?,additional_materials
Тақырып бойынша қандай әдеби кітаптарды оқу керек?,additional_materials
Тақырып бойынша қандай кітаптарды көп оқу керек?,additional_materials
Маған бұл тақырып бойынша қосымша материалдар қайда болады?,additional_materials
Маған осы тақырып бойынша қосымша материалдар қайда болады?,additional_materials
Маған бұл тақырып бойынша қосымша ақпарат қайда болады?,additional_materials
Маған бұл тақырып бойынша қосымша материалдар қайда?,additional_materials
Маған ұнайтын бұл тақырып бойынша қосымша материалдар қайда болады?,additional_materials
Маған бұл тақырыпша бойынша қосымша материалдар қайда болады?,additional_materials
Маған бұл жаңа тақырып бойынша қосымша материалдар қайда болады?,additional_materials
Маған бұл тақырып бойынша қосымша дидактикалық материалдар қайда болады?,additional_materials
Маған бұл тақырып бойынша қосымша материалдар жинағы қайда болады?,additional_materials
Қандай бейнеде көретіндерді мәслехат бересіз?,additional_materials
Қандай көркем материалдарды көретіндерді мәслехат бересіз?,additional_materials
Қандай бейне материалдарды пайдалануға мәслехат бересіз?,additional_materials
Қандай бейне материалдарды көретіндерді айтып бересіз?,additional_materials
Қандай бейне және материалдарды көретіндерді мәслехат бересіз?,additional_materials
Қандай жағдайда бейне материалдарды көретіндерді мәслехат бересіз?,additional_materials
Қандай бейне материалдарды жақсы көретіндерді мәслехат бересіз?,additional_materials
Тақырыпты қалай дайындау керек,additional_materials
Тақырыпты қалай дайындау керек?,additional_materials
Тақырыпты қалай ашу керек?,additional_materials
Тақырыпты қалай оқуға дайындау керек?,additional_materials
Тақырыпты сабаққа қалай дайындау керек?,additional_materials
Қандай амалдар қолдану керек?,additional_materials
Қандай ресурстарды қолдану керек,additional_materials
Қандай ақпараттық ресурстарды қолдану керек?,additional_materials
Қандай ресурстарды тиімді қолдану керек?,additional_materials
Қандай интернет-ресурстарды пайдалану керек?,additional_materials
Қандай интернет-ресурстарды пайдалану керек,additional_materials
Қандай интернет-ресурстарды тиімді пайдалану керек?,additional_materials
Қандай мобильді интернет-ресурстарды пайдалану керек?,additional_materials
Бұл тақырып бойынша қайда қажетті материалдарды табуға болады?,additional_materials
Бұл тақырып бойынша қайда қосымша материалдарды табуға болады?,additional_materials
Бұл тақырып бойынша қандай қосымша материалдарды табуға болады?,additional_materials
Бұл тақырыптан қайда қосымша материалдарды табуға болады?,additional_materials
Бұл тақырып бойынша қайда қосымша материалдарды табуға болады,additional_materials
Бұл тақырып бойынша интернеттен қайда қосымша материалдарды табуға болады?,additional_materials
Бұл тақырып бойынша қайда қосымша материалдарды қайдан табуға болады?,additional_materials
Бұл тақырып тақырыбы бойынша қайда қосымша материалдарды табуға болады?,additional_materials
Бұл тақырып бойынша қайда қосымша қажетті материалдарды табуға болады?,additional_materials
Бұл жаңа тақырып бойынша қайда қосымша материалдарды табуға болады?,additional_materials
Бұл тақырып бойынша қайда және қосымша материалдарды табуға болады?,additional_materials
Қайда қосымша материалдарды табу керек,additional_materials
Қайда қосымша материалдарды пайдалануы мүмкін?,additional_materials
Қайда қажет материалдарды табу мүмкін?,additional_materials
Қайда және қосымша материалдарды табу мүмкін?,additional_materials
Қайда қосымша материалдарды іздеп табу мүмкін?,additional_materials
Қайда қосымша қажетті материалдарды табу мүмкін?,additional_materials
Қандай құралдарды пайдалану керек?,additional_materials
Қандай құралдарды пайдалану керек,additional_materials
Қандай техникалық құралдарды пайдалану керек?,additional_materials
Қандай құралдарды тиімді пайдалану керек?,additional_materials
Қандай видеоларды көруге мәслехат?,additional_materials
Қандай түс көруге мәслехат бересіз?,additional_materials
Қандай видеоларды көруге кеңес бересіз?,additional_materials
Қандай видеоларды көруге қандай мәслехат бересіз?,additional_materials
Қандай қызықты видеоларды көруге мәслехат бересіз?,additional_materials
Қандай видеоларды тегін көруге мәслехат бересіз?,additional_materials
Қайда қосымша ресурстарды алуға болады?,additional_materials
Қандай қосымша материалдарды қарауға мәслехат бересіз?,additional_materials
Қандай өзге материалдарды пайдалануға мәслехат бересіз?,additional_materials
Қандай өзге материалдарды қарауға мәслехат?,additional_materials
Қандай өзге материалдарды қарауға келісім бересіз?,additional_materials
Қандай және өзге материалдарды қарауға мәслехат бересіз?,additional_materials
Қандай өзге материалдарды қайта қарауға мәслехат бересіз?,additional_materials
Қандай өзге материалдарды қарауға қатысты мәслехат бересіз?,additional_materials
Қандай өзге де материалдарды қарауға мәслехат бересіз?,additional_materials
Біреу жаңы күн көрген бе?,other
Біреу жаңы фильмдерді көрген.,other
Біреу шетелдік фильмдерді көрген бе?,other
Біреу жаңы фильмдерді дейсің бе?,other
Біреу жаңы фильмдерді көп көрген бе?,other
Біреу бұрын жаңы фильмдерді көрген бе?,other
Біреу жаңыған фильмдерді көрген бе?,other
"Бүгін жылы, ертең ашу керек.",other
"Бүгін жылы, деңгей ашу.",other
Бүгін қандай деңгей ашу керек.,other
"Бүгін жылы, деңгейім керек.",other
"Бүгін оқу жылы, деңгей ашу керек.",other
"Бүгін жылы, деңгейді ашу керек.",other
"Бүгін жылы, жаңа деңгей ашу керек.",other
Менің себебім жаңа тігін машинасы.,other
Менің себебім жаңа кофе.,other
Менің атым жаңа кофе машинасы.,other
Менің себебім – кофе машинасы.,other
Менің таңдаған себебім жаңа кофе машинасы.,other
Менің себебім жаңа піскен кофе машинасы.,other
Менің себебім – жаңа кофе машинасы.,other
"Қайсында бірден дене,",other
Қайсында қандай дене ауырды?,other
Қайсында бірден не ауырды?,other
Қайсында да бірден дене ауырды?,other
Қайсында бірден бір дене ауырды?,other
Бірақ құлақпақтарымдағы тіл арқылы қана сөйлеймін.,other
Бірақ мен ән арқылы қана сөйлеймін.,other
Бірақ құлақпақтарымдағы ән деп қана сөйлеймін.,other
Бірақ құлақпақтарымдағы ән арқылы ғана сөйлеймін.,other
"Бірақ, құлақпақтарымдағы ән арқылы қана сөйлеймін.",other
Бірақ құлақпақтарымдағы әнім арқылы қана сөйлеймін.,other
Бірақ құлақпақтарымдағы ән арқылы тек қана сөйлеймін.,other
"Мен бүгін дайын болмағаным себебі қайда қоюым керек, ешкімге айтпаған жағдайда.",other
Мен сабаққа дайын болмағаным себебі қайда қоюым керек екен ешкімге айтпаған жағдайда.,other
Мен бүгін дайын болмағаным себебі қайда қоюым керек екен ешкімге айтпаған.,other
Мен бүгін дайын болмағаным себебі қайда қоюым керек екен ешкімге түсініксіз жағдайда.,other
Мен бүгін олай болмағаным себебі қайда қоюым керек екен ешкімге айтпаған жағдайда.,other
Мен бүгін дайын болмағаным себебі қайда қоюым керек екен ешкімге айтпаған жағдайда.,other
"Мен бүгін дайын болмағаным себебі қайда қоюым керек екен, ешкімге айтпаған жағдайда.",other
Мен бүгін дайын болмағаным себебі қайда қалып қоюым керек екен ешкімге айтпаған жағдайда.,other
"Мен бүгін дайын болмағаным, себебі қайда қоюым керек екен ешкімге айтпаған жағдайда.",other
Мен бүгін дайын болмағаным себебі қайда қоюым керек емес екен ешкімге айтпаған жағдайда.,other
Мен бүгін дайын болмағаным себебі қайда қоюым маған керек екен ешкімге айтпаған жағдайда.,other
Мен бүгін дайын болмағаным себебі қайда қоюым керек екен ешкімге де айтпаған жағдайда.,other
"Мен бүгін дайын болмағаным себебі, қайда қоюым керек екен ешкімге айтпаған жағдайда.",other
"Менің балауындарымдың қай жерде болуы керек екеніне көз жүгіртіп, оны айыптамақшы емеспін.",other
"Менің балауындарымдың қай жерде болуы керек екеніне көз жүгіртіп, өзімді айыптамақшы емеспін.",other
Менің балауындарымдың қай жерде болуы керек екеніне көз жеткізіп өзімді айыптамақшы емеспін.,other
"Менің өмірім қай жерде болуы керек екеніне көз жүгіртіп, өзімді айыптамақшы емеспін.",other
"Менің балауындарымдың қай жерде болуы үшін керек екеніне көз жүгіртіп, өзімді айыптамақшы емеспін.",other
"Менің балауындарымдың қай қай жерде болуы керек екеніне көз жүгіртіп, өзімді айыптамақшы емеспін.",other
"Менің балауындарымдың дәл қай жерде болуы керек екеніне көз жүгіртіп, өзімді айыптамақшы емеспін.",other
"Менің балауындарымдың қай жерде болуы керек екеніне көзімді жүгіртіп, өзімді айыптамақшы емеспін.",other
"Менің балауындарымдың қай жерде болуы керек екеніне көз жүгіртіп, мен өзімді айыптамақшы емеспін.",other
Алтын іздеп жүрген адамдардың көпшілігі қайда?,other
Алтын іздеп жүргендердің көпшілігі қайда?,other
Алтын іздеп жүрген адамдардың бәрі қайда?,other
Алтын іздеп жүрген адамдардың көпшілігі:,other
Алтын іздеп жүрген ер адамдардың көпшілігі қайда?,other
Алтын іздеп іздеп жүрген адамдардың көпшілігі қайда?,other
Алтын іздеп жүрген адамдардың басым көпшілігі қайда?,other
Алтын адамды іздеп жүрген адамдардың көпшілігі қайда?,other
Кешегі мен көктен асып кеттім.,other
"Кешегі, көк жағдайдан асып кеттім.",other
Кешегі мен көк жағдайдан шығып кеттім.,other
Кешегі мен осы жағдайдан асып кеттім.,other
Кешегі жер мен көк жағдайдан асып кеттім.,other
Кешегі мен көктей жағдайдан асып кеттім.,other
Кешегі мен көк жағдайдан да асып кеттім.,other
Кешегі мен де көк жағдайдан асып кеттім.,other
Жануарда мен көк жағдаймен танысқан жоқпын.,other
Жануарда көктен көк жағдаймен көрген жоқпын.,other
Жануарда көктен көктен танысқан жоқпын.,other
Жануарда көктен келген жағдаймен танысқан жоқпын.,other
Жануарда көктен көк жағдаймен танысқан.,other
Жануарда мен көктен көк жағдаймен танысқан жоқпын.,other
"Жануарда көктен, көк жағдаймен танысқан жоқпын.",other
Жануарда көктен көктегі жағдаймен танысқан жоқпын.,other
Жануарда көктен көк жағдаймен ғана танысқан жоқпын.,other
Мен құс асырау үшін болмайды.,other
Мен құс үйрену үшін.,other
Мен оны үйрену үшін болмайды.,other
Мен құс үйрену оңай болмайды.,other
Мен білетін құс үйрену үшін болмайды.,other
Мен құс үйрену мен үшін болмайды.,other
Мен құс тілін үйрену үшін болмайды.,other
"Келісіп, жануары болмайды, жануарды өзгерту.",other
"Келісіп, жануары болмайды, жануарды күту керек.",other
"Келісіп, бірлік болмайды, жануарды өзгерту керек.",other
"Келісіп, жануары болмайды, атын өзгерту керек.",other
"Келісіп, жануары бар жануарды өзгерту керек.",other
"Келісіп, жануары да болмайды, жануарды өзгерту керек.",other
"Келісіп, жануары болмайды, бірақ жануарды өзгерту керек.",other
"Келісіп, үй жануары болмайды, жануарды өзгерту керек.",other
"Мен өзге қалада жүріп, бақылауымды алдым.",other
"Мен өзге көктен жүріп, білім алдым.",other
Мен өзге көктен өз бақылауымды алдым.,other
"Мен де көктен жүріп, бақылауымды алдым.",other
"Мен өзге көктен жүріп, өз бақылауымды алдым.",other
"Мен өзге ел көктен жүріп, бақылауымды алдым.",other
"Мен өзге көктен ұшып жүріп, бақылауымды алдым.",other
"Мен сенен өзге көктен жүріп, бақылауымды алдым.",other
Мен әлсіздікті және қайта көруді болдырдым.,other
"Мен оны сезіп, қайта көруді болдырдым.",other
"Мен әлсіздікті сезіп, қайта оны болдырдым.",other
"Мен әлсіздікті сезіп, қайта көруді.",other
"Мен әлсіздікті бірден сезіп, қайта көруді болдырдым.",other
"Мен әлсіздікті сезіп, қайта күн көруді болдырдым.",other
"Мен бұл әлсіздікті сезіп, қайта көруді болдырдым.",other
"Мен әлсіздікті сезіп, оны қайта көруді болдырдым.",other
"Мен қайда болуым керек, бірақ мен өзімді таппаймын.",other
"Мен бақытты болуым керек, бірақ мен өзімді таппаймын.",other
"Мен қайда болуым керек, бірақ мен оны таппаймын.",other
"Мен қайда болуым керек, бірақ мен өзімді...",other
"Мен қайда өлу керек, бірақ мен өзімді таппаймын.",other
"Мен қайда болуым керек, бірақ, мен өзімді таппаймын.",other
"Мен қайда болуымым керек, бірақ мен өзімді таппаймын.",other
"Мен қайда болуым керек, бірақ бірақ мен өзімді таппаймын.",other
"Мен енді қайда болуым керек, бірақ мен өзімді таппаймын.",other
